Coral,Bleaching,Disease,Buried,States
R2S2-LR-2-4,0,1,0,1
R2S2-LR-2-5,0,0,0,0
R2S2-LR-2-6,0,1,0,1
R2S2-LR-2-7,0,0,0,0
R2S2-LR-2-8,0,0,0,0
R2S2-LR-3-1,0,1,0,1
R2S2-LR-3-2,3,0,0,3
R2S2-LR-3-3,0,1,0,1
R2S2-LR-3-4,3,0,0,3
R2S2-LR-3-5,0,0,0,0
R2S2-LR-3-6,0,1,0,1
R2S2-LR-3-7,0,1,0,1
R2S2-LR-3-8,0,0,0,0
R2SC2-LR-1-1,0,1,0,1
R2SC2-LR-1-2,0,0,0,0
R2SC2-LR-1-3,0,0,0,0
R2SC2-LR-1-4,3,0,0,3
R2SC2-LR-1-5,0,1,0,1
R2SC2-LR-1-6,0,0,0,0
R2SC2-LR-1-7,0,0,0,0
R2SC2-LR-2-1,3,1,0,4
R2SC2-LR-2-2,0,0,0,0
R2SC2-LR-2-3,3,1,0,4
R2SC2-LR-2-4,3,0,0,3
R2SC2-LR-2-5,0,0,0,0
R2SC2-LR-2-6,0,0,0,0
R2SC2-LR-2-7,0,1,0,1
R2SC2-LR-2-8,0,0,0,0
R2SC2-LR-3-1,0,0,0,0
R2SC2-LR-3-2,0,0,0,0
R2SC2-LR-3-3,0,0,0,0
R2SC2-LR-3-4,0,0,0,0
R2SC2-LR-3-5,0,0,0,0
R2SC2-LR-3-6,3,0,0,3
R2SC2-LR-3-7,3,0,0,3
R2SC2-LR-3-8,0,0,0,0
R2SC2-LR-3-9,0,1,0,1
R2SC2-LR-3-10,0,1,0,1
R2N2-LR-1-1,3,0,0,3
R2N2-LR-1-2,0,0,0,0
R2N2-LR-1-3,0,0,0,0
R2N2-LR-1-4,0,0,5,5
R2N2-LR-1-5,0,0,0,0
R2N2-LR-1-6,0,0,0,0
R2N2-LR-1-7,0,0,5,5
R2N2-LR-1-8,0,0,0,0
R2N2-LR-1-9,0,0,0,0
R2N2-LR-1-10,0,0,0,0
R2N2-LR-2-1,0,0,5,5
R2N2-LR-2-2,0,0,0,0
R2N2-LR-2-3,0,0,0,0
R2N2-LR-2-4,0,1,0,1
R2N2-LR-2-5,0,0,0,0
R2N2-LR-2-6,0,0,0,0
R2N2-LR-3-1,0,1,0,1
R2N2-LR-3-2,0,0,0,0
R2N2-LR-3-3,0,0,0,0
R2N2-LR-3-4,0,1,0,1
R2N2-LR-3-5,0,0,0,0
R2N2-LR-3-6,0,0,5,5
R2N2-LR-3-7,3,0,0,3
R2N2-LR-3-8,0,0,0,0
R2N2-LR-3-9,0,0,0,0
R2NC3-LR-3-1,0,0,0,0
R2NC3-LR-3-2,0,0,0,0
R2NC3-LR-3-3,0,0,0,0
R2NC3-LR-3-4,0,0,0,0
R2NC3-LR-3-5,0,0,0,0
R2NC3-LR-3-6,0,0,0,0
R2NC3-LR-3-7,0,0,0,0
R2NC3-LR-3-8,0,0,0,0
R2NC3-LR-3-9,0,0,0,0
R2NC3-LR-3-10,0,0,0,0
R3S1-CP-1-1,0,0,0,0
R3S1-CP-1-2,0,0,0,0
R3S1-CP-1-3,0,0,0,0
R3S1-CP-1-4,0,0,0,0
