ID,Dredge,Direction,Tran,Site,Habitat,Species,Mortality,surv.time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,21
R2S1-RR-1-4,channel,S,16,6,2,DCLI,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-1-5,channel,S,16,6,2,DSTO,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
R2S1-RR-1-6,channel,S,16,6,2,PAST,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-1-7,channel,S,16,6,2,PAST,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-1-8,channel,S,16,6,2,SSID,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-1-9,channel,S,16,6,2,MMEA,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
R2S1-RR-1-10,channel,S,16,6,2,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-2-1,channel,S,17,6,2,DSTO,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
R2S1-RR-2-2,channel,S,17,6,2,PAST,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-2-3,channel,S,17,6,2,DSTO,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
R2S1-RR-2-4,channel,S,17,6,2,PAST,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-2-5,channel,S,17,6,2,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-2-6,channel,S,17,6,2,MMEA,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
R2S1-RR-2-7,channel,S,17,6,2,MCAV,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-2-9,channel,S,17,6,2,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-3-2,channel,S,18,6,2,DSTO,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
R2S1-RR-3-4,channel,S,18,6,2,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-3-5,channel,S,18,6,2,PAST,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-3-6,channel,S,18,6,2,SSID,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-3-7,channel,S,18,6,2,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-3-8,channel,S,18,6,2,SSID,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2S1-RR-3-9,channel,S,18,6,2,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS3-CP-1-1,channel,S,19,7,1,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS3-CP-1-3,channel,S,19,7,1,MMEA,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HBS3-CP-1-4,channel,S,19,7,1,MMEA,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-1-5,channel,S,19,7,1,MMEA,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-1-6,channel,S,19,7,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-1-9,channel,S,19,7,1,DSTO,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HBS3-CP-2-1,channel,S,20,7,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS3-CP-2-3,channel,S,20,7,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-2-4,channel,S,20,7,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-2-5,channel,S,20,7,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-2-6,channel,S,20,7,1,MMEA,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-2-7,channel,S,20,7,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-2-9,channel,S,20,7,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-3-1,channel,S,21,7,1,MMEA,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-3-2,channel,S,21,7,1,SSID,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS3-CP-3-4,channel,S,21,7,1,MMEA,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-3-5,channel,S,21,7,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS3-CP-3-6,channel,S,21,7,1,DSTO,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HBS3-CP-3-7,channel,S,21,7,1,DSTO,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HBS3-CP-3-8,channel,S,21,7,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HBS3-CP-3-10,channel,S,21,7,1,DSTO,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R2SC1-RR-1-1,control,S,22,8,2,DCLI,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-1-2,control,S,22,8,2,DSTR,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-1-3,control,S,22,8,2,MMEA,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R2SC1-RR-1-4,control,S,22,8,2,MCAV,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-1-5,control,S,22,8,2,SBOU,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R2SC1-RR-1-6,control,S,22,8,2,DSTO,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
R2SC1-RR-1-9,control,S,22,8,2,DSTR,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R2SC1-RR-1-10,control,S,22,8,2,DCLI,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-2-1,control,S,23,8,2,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-2-2,control,S,23,8,2,MCAV,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-2-3,control,S,23,8,2,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-2-4,control,S,23,8,2,DCLI,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-2-5,control,S,23,8,2,PAST,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-2-6,control,S,23,8,2,MCAV,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R2SC1-RR-2-7,control,S,23,8,2,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-2-8,control,S,23,8,2,SSID,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-2-9,control,S,23,8,2,SBOU,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2SC1-RR-2-10,control,S,23,8,2,DCLI,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
